"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"33B7FC266E3D2A76","electric_bike","2024-05-04 20:05:59","2024-05-04 20:37:11","NCAAA - Walnut Ave at Crawford St","B32027","Franklin Park - Seaver St at Humboldt Ave","C32027",42.316903114,-71.091911435,42.309796,-71.092225,"member"
"592FCA9A260CEEBB","classic_bike","2024-05-04 10:49:38","2024-05-04 12:26:04","Mugar Way at Beacon St","D32017","Beacon St at Massachusetts Ave","B32016",42.355536284897084,-71.07286870479584,42.35082680669095,-71.0898108780384,"casual"
"493DECFADB6F6F45","classic_bike","2024-05-02 20:16:49","2024-05-02 20:43:59","Mugar Way at Beacon St","D32017","Beacon St at Massachusetts Ave","B32016",42.355536284897084,-71.07286870479584,42.35082680669095,-71.0898108780384,"casual"
"F6F63F4EF988E55B","classic_bike","2024-05-02 20:16:32","2024-05-02 20:43:57","Mugar Way at Beacon St","D32017","Beacon St at Massachusetts Ave","B32016",42.355536284897084,-71.07286870479584,42.35082680669095,-71.0898108780384,"casual"
"9F384981FF6B1137","electric_bike","2024-05-07 19:14:11","2024-05-07 19:21:05","Medford Sq - Riverside Ave at River St","F32002","Tufts Sq - Main St at Medford St","F32003",42.417745471,-71.107999563,42.401697,-71.106128,"member"
"AED863190D1A71BD","electric_bike","2024-05-24 07:18:05","2024-05-24 07:38:00","NCAAA - Walnut Ave at Crawford St","B32027","Union Square - Brighton Ave at Cambridge St","A32001",42.316828251,-71.091897368,42.353334,-71.137313,"member"
"1D39904DE40C8D38","classic_bike","2024-05-18 20:32:58","2024-05-18 20:39:37","Brookline Village - Station Street at MBTA","K32003","St. Alphonsus St at Tremont St","B32063",42.33274392304887,-71.11626680949485,42.33329254719182,-71.10124647617339,"member"
"856CEEAA0EEC30AA","electric_bike","2024-05-16 21:43:12","2024-05-16 21:48:46","Medford Sq - Riverside Ave at River St","F32002","Auburn St. at Mystic River","ZZ32996",42.417745471,-71.108088851,42.41759089672136,-71.12608127863496,"member"
"D6A851BAA5730DC6","electric_bike","2024-05-02 06:38:50","2024-05-02 06:50:15","NCAAA - Walnut Ave at Crawford St","B32027","Boylston St at Massachusetts Ave","B32018",42.316892862,-71.091871619,42.34740620525209,-71.08678414955648,"casual"
"8FE71C5E66BACBE5","classic_bike","2024-05-20 11:23:47","2024-05-20 11:42:48","NCAAA - Walnut Ave at Crawford St","B32027","Back Bay T Stop - Dartmouth St at Stuart St","C32003",42.316902,-71.091946,42.34807412317439,-71.07657015323639,"member"
"EAFFD49E907F7F1B","classic_bike","2024-05-09 09:11:32","2024-05-09 09:35:54","Williams St at Washington St","D32040","Stuart St at Charles St","D32011",42.306539,-71.107669,42.351146,-71.066289,"member"
"86E09929973759F0","classic_bike","2024-05-03 13:11:08","2024-05-03 13:26:14","Medford Sq - Riverside Ave at River St","F32002","Hickey Park","F32009",42.417724,-71.108102,42.424981,-71.098973,"casual"
"B0CE1229910BD3A6","electric_bike","2024-05-03 22:38:14","2024-05-03 22:57:03","Medford Sq - Riverside Ave at River St","F32002","Broadway St at Mt Pleasant St","S32014",42.417657733,-71.108084679,42.386141411639564,-71.07828140258789,"member"
"7508B0486C79E376","classic_bike","2024-05-31 12:35:15","2024-05-31 12:53:46","Williams St at Washington St","D32040","Brookline Village - Station Street at MBTA","K32003",42.306539,-71.107669,42.33274392304887,-71.11626680949485,"member"
"2B41F5EA62CDFDA8","classic_bike","2024-05-28 18:06:16","2024-05-28 20:15:02","Adams St at Lonsdale St","C32065","Adams St at Lonsdale St","C32065",42.291679428741226,-71.05726346409938,42.291679428741226,-71.05726346409938,"casual"
"7E689121406736F0","classic_bike","2024-05-04 23:01:05","2024-05-04 23:32:17","Washington St at Melnea Cass Blvd","B32026","Washington St at Melnea Cass Blvd","B32026",42.332817,-71.081198,42.332817,-71.081198,"member"
"99D01006E873C773","classic_bike","2024-05-09 21:40:59","2024-05-09 21:41:15","7 Acre Park","V32001","7 Acre Park","V32001",42.41143222973408,-71.06823265090497,42.41143222973408,-71.06823265090497,"member"
